"ASSET_SYMBOL","TRADE_DATE","OPEN_PRICE","HIGH_PRICE","LOW_PRICE","CLOSE_PRICE","RSI_14"
"SI=F",2026-03-19 00:00:00.000000000,75.71,76.11,67,70.9,27.21
"SI=F",2026-03-20 00:00:00.000000000,71.92,71.93,69.36,69.36,26.35
"SI=F",2026-03-23 00:00:00.000000000,64.74,69.51,61.09,69.05,26.17
"SI=F",2026-03-24 00:00:00.000000000,69.37,71.34,66.11,70.83,29.16
"HG=F",2026-01-27 00:00:00.000000000,5.83,5.84,5.82,5.83,0
"HG=F",2026-01-28 00:00:00.000000000,5.88,5.89,5.88,5.89,3.07
"HG=F",2026-01-29 00:00:00.000000000,6.16,6.51,6.13,6.18,15.43
"HG=F",2026-01-30 00:00:00.000000000,6.15,6.15,5.75,5.9,13.59
"HG=F",2026-02-02 00:00:00.000000000,5.74,5.86,5.57,5.8,13.02
"HG=F",2026-02-03 00:00:00.000000000,5.87,6.07,5.87,6.06,22.61
"HG=F",2026-02-04 00:00:00.000000000,6.06,6.08,5.83,5.83,20.41
"HG=F",2026-02-05 00:00:00.000000000,5.78,5.8,5.68,5.8,20.17
"HG=F",2026-02-06 00:00:00.000000000,5.65,5.86,5.65,5.86,22.53
"HG=F",2026-02-09 00:00:00.000000000,5.88,5.95,5.88,5.95,25.51
"HG=F",2026-02-10 00:00:00.000000000,5.89,5.9,5.88,5.9,24.89
"HG=F",2026-02-11 00:00:00.000000000,5.92,5.95,5.92,5.95,26.96
"HG=F",2026-02-12 00:00:00.000000000,5.97,5.97,5.75,5.77,24.52
"HG=F",2026-02-13 00:00:00.000000000,5.8,5.8,5.7,5.79,25.4
"HG=F",2026-02-17 00:00:00.000000000,5.63,5.64,5.63,5.63,23.23
"HG=F",2026-02-18 00:00:00.000000000,5.67,5.8,5.67,5.79,29.72
"HG=F",2026-02-19 00:00:00.000000000,5.74,5.74,5.72,5.73,28.69
"HG=F",2026-02-20 00:00:00.000000000,5.74,5.86,5.73,5.83,32.7
